證券代號,證券名稱,產業內容
2321,東訊,"光通訊設備(如光纖電纜、光傳輸設備), 無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒), 有線通訊設備(如電話機、傳真機)"
2323,中環,"其他電腦及週邊設備, 光碟片"
2324,仁寶,"筆記型電腦, 工業電腦, 伺服器, 其他電腦及週邊設備, 電視, 網路設備(如數據機、網路卡、閘道器、路由器、網路電話), 無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒), 穿戴式裝置, 健身平台/APP"
2327,國巨*,"電阻器, 電容器, 電感器, 濾波器、振盪器"
2328,廣宇,"連接線, 其他電腦及週邊設備之零組件, 硬板、軟板、IC載板製造, 基板組裝加工及相關製造, 銅箔基板"
2329,華泰,IC封裝測試
2330,台積電,晶圓製造
2331,精英,"主機板, 筆記型電腦, 桌上型電腦, 其他電腦及週邊設備"
2332,友訊,網路設備(如數據機、網路卡、閘道器、路由器、網路電話)
2337,旺宏,"IC封裝測試, 記憶體IC, 晶圓製造"
2338,光罩,光罩
2340,台亞,"IC封裝測試, ITO導電基板, 擴散膜、增亮膜、導光板, 車燈, 其他, 感測裝置, 晶圓製造, 其他IC/二極體製造, 環境感知, 深度感測, SLAM, 使用者感知, 視覺, 手勢/動作, 光源/磊晶"
2342,茂矽,其他IC/二極體製造
2344,華邦電,"記憶體, 記憶體IC, 晶圓製造, DRAM製造"
2345,智邦,網路設備(如數據機、網路卡、閘道器、路由器、網路電話)
2347,聯強,IC通路
2348,海悅,其他
2349,錸德,光碟片
2351,順德,"導線架, 塑膠製品, 金屬製品, 模具"
2352,佳世達,"工業電腦, 伺服器, 其他電腦及週邊設備, 印表機、傳真機、掃瞄器、多功能事務機、投影機, 安全監控系統, 其他電腦及週邊設備之零組件, 其他零組件, 監視器/顯示器, 網路設備(如數據機、網路卡、閘道器、路由器、網路電話), 光通訊設備(如光纖電纜、光傳輸設備), 無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒), 連接器設計、組裝及製造, 手工具機, 機電系統工程, 系統整合服務, 資訊系統建置服務, 資料分析處理服務, 資訊聚合, 領域解決方案, 系統整合, 網路基礎設施, 資安營運管理服務, 應用軟體, 雲端平台, 醫療器材代理銷售及通路, 天線/射頻基頻, 網路, 鋰電池材料, 原材料, 能源管理服務, 醫療耗材, 顯示器, 醫療器材代理, 醫療院所、醫療器材專賣店、藥局等通路"
2353,宏碁,"筆記型電腦, 桌上型電腦, 伺服器, 其他電腦及週邊設備, 印表機、傳真機、掃瞄器、多功能事務機、投影機"
2354,鴻準,"機殼, 散熱片、風扇馬達、散熱模組, 金屬、塑膠模具, 其他電子產品及電子服務產業"
2355,敬鵬,硬板、軟板、IC載板製造
2356,英業達,筆記型電腦
2357,華碩,"主機板, 網路卡, 輸出入模組/介面卡, 顯示卡, 硬碟機, 光碟機, 磁碟儲存系統, BIOS(嵌入式軟體), 筆記型電腦, 桌上型電腦, 精簡型電腦, 伺服器, 其他電腦及週邊設備, 隨身碟、記憶卡讀卡機, 網路設備(如數據機、網路卡、閘道器、路由器、網路電話), 無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒), 智慧設備, 移動控制, 穿戴式裝置"
2359,所羅門,其他電子產品及電子服務產業
2360,致茂,"生產製程及檢測設備, 電源供應器, 系統整合服務, 其他電子產品及電子服務產業, 生產製程、檢測設備及原物料, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件, 電池芯, 電池模組, 高/低壓輸電設施, 配電管理設施"
2362,藍天,筆記型電腦
2363,矽統,IC設計
2364,倫飛,"筆記型電腦, 工業電腦, 精簡型電腦, 其他電腦及週邊設備"
2365,昆盈,其他電腦及週邊設備
2367,燿華,硬板、軟板、IC載板製造
2368,金像電,硬板、軟板、IC載板製造
2369,菱生,IC封裝測試
